x_axis,dose,mean,lower,upper
849,2,0.949436115,0.948620343,0.950251887
850,2,0.949384263,0.948568783,0.950199744
851,2,0.949332771,0.948517668,0.950147874
852,2,0.949281654,0.948467016,0.950096292
853,2,0.949230927,0.948416841,0.950045013
854,2,0.949180606,0.948367158,0.949994054
855,2,0.949130707,0.948317983,0.949943432
856,2,0.949081245,0.948269328,0.949893161
857,2,0.949032233,0.948221207,0.949843259
858,2,0.948983688,0.948173634,0.949793741
859,2,0.948935623,0.948126622,0.949744624
860,2,0.948888053,0.948080183,0.949695923
861,2,0.948840991,0.948034328,0.949647654
862,2,0.948794452,0.94798907,0.949599835
863,2,0.948748449,0.947944419,0.949552479
864,2,0.948702996,0.947900386,0.949505605
865,2,0.948658104,0.947856981,0.949459227
866,2,0.948613787,0.947814213,0.949413361
867,2,0.948570058,0.947772092,0.949368024
868,2,0.948526928,0.947730626,0.949323231
869,2,0.94848441,0.947689823,0.949278997
870,2,0.948442515,0.947649691,0.949235339
871,2,0.948401255,0.947610238,0.949192272
872,2,0.948360641,0.94757147,0.949149812
873,2,0.948320683,0.947533392,0.949107973
874,2,0.948281392,0.947496012,0.949066771
875,2,0.948242778,0.947459335,0.949026221
876,2,0.948204851,0.947423365,0.948986337
877,2,0.948167621,0.947388107,0.948947136
878,2,0.948131097,0.947353565,0.94890863
879,2,0.948095289,0.947319742,0.948870835
880,2,0.948060204,0.947286643,0.948833764
881,2,0.948025851,0.947254269,0.948797433
882,2,0.947992238,0.947222623,0.948761853
883,2,0.947959373,0.947191707,0.94872704
884,2,0.947927264,0.947161523,0.948693005
