time,group,mean,P2_5,P97_5,P25,P75,day
95,1,6.016263759,5.058332288,6.976288419,5.682254356,6.344506539,1410
95,2,6.521918084,5.747853895,7.29868177,6.251885698,6.785978596,1410
95,3,7.285240292,6.786132454,7.784774208,7.112877103,7.454260321,1410
96,1,6.005374232,5.049176631,6.963661233,5.67196939,6.333022887,1425
96,2,6.510113314,5.737450194,7.285471047,6.240569692,6.773695874,1425
96,3,7.272053898,6.773849453,7.770683651,7.100002689,7.440767999,1425
97,1,5.994504415,5.040037546,6.951056902,5.661703041,6.321560021,1440
97,2,6.498329912,5.727065323,7.272284236,6.229274167,6.761435383,1440
97,3,7.258891372,6.761588684,7.756618597,7.087151578,7.427300097,1440
98,1,5.983654272,5.030915002,6.938475385,5.651455274,6.310117903,1455
98,2,6.486567838,5.716699249,7.259121292,6.217999088,6.749197084,1455
98,3,7.24575267,6.749350107,7.742579002,7.074323728,7.413856573,1455
99,1,5.972823769,5.021808971,6.925916641,5.641226055,6.298696496,1470
99,2,6.474827053,5.706351938,7.245982174,6.206744417,6.736980936,1470
99,3,7.23263775,6.737133683,7.728564818,7.061519096,7.400437382,1470
100,1,5.962012869,5.012719422,6.913380629,5.631015352,6.287295761,1485
100,2,6.463107519,5.696023356,7.232866838,6.195510117,6.7247869,1485
100,3,7.219546567,6.72493937,7.714576,7.048737641,7.38704248,1485
101,1,5.951221536,5.003646325,6.900867306,5.62082313,6.275915662,1500
101,2,6.451409198,5.685713469,7.219775241,6.184296151,6.712614935,1500
101,3,7.20647908,6.71276713,7.700612502,7.035979321,7.373671823,1500
102,1,5.940449736,4.99458965,6.888376633,5.610649356,6.26455616,1515
102,2,6.439732051,5.675422242,7.20670734,6.173102482,6.700465002,1515
102,3,7.193435245,6.700616921,7.686674279,7.023244093,7.360325366,1515
103,1,5.929697433,4.985549368,6.875908569,5.600493997,6.25321722,1530
103,2,6.42807604,5.665149643,7.193663092,6.161929074,6.68833706,1530
103,3,7.18041502,6.688488704,7.672761283,7.010531916,7.347003067,1530
104,1,5.918964592,4.976525449,6.863463071,5.590357019,6.241898803,1545
104,2,6.416441126,5.654895638,7.180642455,6.150775891,6.67623107,1545
104,3,7.167418361,6.676382439,7.658873471,6.997842749,7.333704882,1545
105,1,5.908251178,4.967517864,6.851040101,5.580238389,6.230600873,1560
105,2,6.404827272,5.644660192,7.167645384,6.139642894,6.664146992,1560
105,3,7.154445227,6.664298087,7.645010795,6.985176549,7.320430767,1560
106,1,5.897557155,4.958526582,6.838639616,5.570138074,6.219323393,1575
106,2,6.393234439,5.634443273,7.154671839,6.128530049,6.652084787,1575
106,3,7.141495574,6.652235608,7.631173211,6.972533275,7.307180678,1575
107,1,5.886882489,4.949551575,6.826261576,5.560056041,6.208066324,1590
107,2,6.381662589,5.624244846,7.141721776,6.117437318,6.640044414,1590
107,3,7.128569361,6.640194962,7.617360674,6.959912885,7.293954571,1590
108,1,5.876227143,4.940592813,6.81390594,5.549992257,6.196829632,1605
108,2,6.370111684,5.614064879,7.128795153,6.106364665,6.628025834,1605
108,3,7.115666543,6.62817611,7.603573137,6.947315339,7.280752405,1605
109,1,5.865591084,4.931650266,6.801572669,5.539946688,6.185613277,1620
109,2,6.358581687,5.603903338,7.115891927,6.095312054,6.616029008,1620
109,3,7.102787081,6.616179013,7.589810556,6.934740594,7.267574134,1620
110,1,5.854974277,4.922723905,6.789261721,5.529919302,6.174417225,1635
110,2,6.347072559,5.593760189,7.103012057,6.084279448,6.604053897,1635
110,3,7.08993093,6.60420363,7.576072886,6.92218861,7.254419716,1635
111,1,5.844376686,4.913813701,6.776973055,5.519910065,6.163241437,1650
111,2,6.335584263,5.583635399,7.090155499,6.073266811,6.592100461,1650
111,3,7.077098049,6.592249922,7.562360081,6.909659345,7.241289108,1650
112,1,5.833798277,4.904919625,6.764706633,5.509918945,6.152085878,1665
112,2,6.324116761,5.573528936,7.077322211,6.062274108,6.58016866,1665
112,3,7.064288396,6.580317852,7.548672096,6.897152759,7.228182267,1665
113,1,5.823239015,4.896041647,6.752462413,5.49994591,6.140950511,1680
113,2,6.312670015,5.563440765,7.064512152,6.051301301,6.568258457,1680
113,3,7.051501928,6.568407378,7.535008887,6.884668809,7.215099149,1680
114,1,5.812698865,4.887179739,6.740240355,5.489990925,6.129835299,1695
114,2,6.301243988,5.553370854,7.05172528,6.040348355,6.556369811,1695
114,3,7.038738604,6.556518462,7.521370408,6.872207456,7.202039711,1695
115,1,5.802177793,4.87833387,6.728040419,5.48005396,6.118740205,1710
115,2,6.289838642,5.54331917,7.038961552,6.029415234,6.544502683,1710
115,3,7.025998382,6.544651066,7.507756615,6.859768658,7.189003912,1710
116,1,5.791675765,4.869504013,6.715862566,5.47013498,6.107665194,1725
116,2,6.27845394,5.533285679,7.026220926,6.018501903,6.532657036,1725
116,3,7.01328122,6.53280515,7.494167463,6.847352374,7.175991707,1725
117,1,5.781192745,4.860690138,6.703706754,5.460233954,6.096610229,1740
117,2,6.267089845,5.52327035,7.013503361,6.007608324,6.520832829,1740
117,3,7.000587076,6.520980675,7.480602908,6.834958564,7.163003055,1740
118,1,5.7707287,4.851892216,6.691572944,5.450350849,6.085575273,1755
118,2,6.255746318,5.513273148,7.000808815,5.996734463,6.509030024,1755
118,3,6.987915909,6.509177602,7.467062905,6.822587187,7.150037913,1755
119,1,5.760283595,4.843110219,6.679461097,5.440485633,6.074560291,1770
119,2,6.244423324,5.503294041,6.988137247,5.985880284,6.497248582,1770
119,3,6.975267677,6.497395894,7.45354741,6.810238202,7.137096237,1770
120,1,5.749857395,4.834344117,6.667371173,5.430638272,6.063565246,1785
120,2,6.233120824,5.493332997,6.975488614,5.975045752,6.485488465,1785
120,3,6.962642338,6.48563551,7.440056378,6.797911569,7.124177986,1785
121,1,5.739450067,4.825593882,6.655303132,5.420808736,6.052590102,1800
121,2,6.221838783,5.483389982,6.962862875,5.964230829,6.473749634,1800
121,3,6.950039852,6.473896413,7.426589764,6.785607247,7.111283118,1800
122,1,5.729061577,4.816859485,6.643256933,5.410996991,6.041634824,1815
122,2,6.210577161,5.473464964,6.950259989,5.953435483,6.462032051,1815
122,3,6.937460176,6.462178564,7.413147526,6.773325197,7.098411589,1815
123,1,5.71869189,4.808140897,6.631232539,5.401203006,6.030699375,1830
123,2,6.199335924,5.463557911,6.937679915,5.942659675,6.450335676,1830
123,3,6.924903269,6.450481924,7.399729618,6.761065377,7.085563358,1830
124,1,5.708340972,4.79943809,6.619229909,5.391426748,6.019783719,1845
124,2,6.188115033,5.453668789,6.925122611,5.931903373,6.438660472,1845
124,3,6.912369091,6.438806455,7.386335997,6.748827748,7.072738382,1845
125,1,5.69800879,4.790751036,6.607249004,5.381668185,6.00888782,1860
125,2,6.176914453,5.443797567,6.912588035,5.921166539,6.427006401,1860
125,3,6.899857599,6.427152119,7.372966618,6.736612269,7.05993662,1860
126,1,5.687695309,4.782079705,6.595289785,5.371927285,5.998011643,1875
126,2,6.165734145,5.433944212,6.900076148,5.910449139,6.415373423,1875
126,3,6.887368754,6.415518878,7.359621439,6.7244189,7.047158029,1875
127,1,5.677400495,4.773424069,6.583352212,5.362204016,5.987155153,1890
127,2,6.154574074,5.424108692,6.887586907,5.899751138,6.403761501,1890
