group,time,y_mean,y_lower,y_upper
1,590,0.72137361,0.751850444,0.690768179
1,591,0.718617474,0.749030398,0.688078415
1,592,0.715871869,0.74622093,0.685399125
1,593,0.713136753,0.743421999,0.682730267
1,594,0.710412087,0.740633566,0.680071802
1,595,0.707697832,0.737855593,0.677423688
1,596,0.704993947,0.735088039,0.674785886
1,597,0.702300392,0.732330865,0.672158355
1,598,0.699617129,0.729584033,0.669541055
1,599,0.696944117,0.726847505,0.666933947
1,600,0.694281319,0.72412124,0.664336991
1,601,0.691628694,0.721405201,0.661750146
1,602,0.688986203,0.718699349,0.659173375
1,603,0.686353809,0.716003646,0.656606637
1,604,0.683731473,0.713318055,0.654049894
1,605,0.681119155,0.710642536,0.651503106
1,606,0.678516818,0.707977053,0.648966235
1,607,0.675924424,0.705321568,0.646439243
1,608,0.673341935,0.702676043,0.64392209
1,609,0.670769313,0.700040441,0.641414739
1,610,0.668206519,0.697414724,0.638917151
1,611,0.665653518,0.694798856,0.636429288
1,612,0.66311027,0.692192799,0.633951113
1,613,0.66057674,0.689596518,0.631482587
1,614,0.658052889,0.687009974,0.629023674
1,615,0.655538681,0.684433132,0.626574335
1,616,0.653034079,0.681865956,0.624134534
1,617,0.650539047,0.679308408,0.621704233
1,618,0.648053547,0.676760453,0.619283395
1,619,0.645577543,0.674222055,0.616871984
1,620,0.643110999,0.671693178,0.614469962
1,621,0.64065388,0.669173787,0.612077294
1,622,0.638206148,0.666663845,0.609693942
1,623,0.635767768,0.664163318,0.607319871
1,624,0.633338704,0.661672169,0.604955044
1,625,0.630918921,0.659190365,0.602599426
1,626,0.628508383,0.656717869,0.60025298
1,627,0.626107055,0.654254647,0.597915671
1,628,0.623714902,0.651800664,0.595587463
1,629,0.621331889,0.649355885,0.59326832
1,630,0.61895798,0.646920276,0.590958208
1,631,0.616593141,0.644493803,0.588657092
1,632,0.614237337,0.642076431,0.586364935
